#Name,LogHD50,Co-solvent,SMILES,Reference
W0001,1.146,DMSO,O=C(c1c([H])c(c([H])c([H])c1[H])C(=O)N([H])c2c([S]C([H])([H])C([H])([H])N([H])[H])c(c([H])c(c2[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N([H])[H])N([H])c3c([H])c(c([H])c(c3[S]C([H])([H])C([H])([H])N([H])[H])N([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],"De novo design and in vivo activity of conformationally restrained antimicrobial arylamide foldamers, Choi S1, Isaacs A, Clements D, Liu D, Kim H, Scott RW, Winkler JD, DeGrado WF, Proc Natl Acad Sci USA. 2009 Apr 28;106(17):6968-73."
W0002,2.161,DMSO,O=C(c1c([H])c(c(OC([H])([H])[H])c([H])c1OC([H])([H])[H])C(=O)N([H])c2c([S]C([H])([H])C([H])([H])N([H])[H])c(c([H])c(c2[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N([H])[H])N([H])c3c([H])c(c([H])c(c3[S]C([H])([H])C([H])([H])N([H])[H])N([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],"De novo design and in vivo activity of conformationally restrained antimicrobial arylamide foldamers, Choi S1, Isaacs A, Clements D, Liu D, Kim H, Scott RW, Winkler JD, DeGrado WF, Proc Natl Acad Sci USA. 2009 Apr 28;106(17):6968-73."
W0003,2.037,DMSO,O=C(c1c([H])c(c([H])c(OC([H])([H])C([H])([H])N([H])[H])c1[H])C(=O)N([H])c2c([S]C([H])([H])C([H])([H])N([H])[H])c(c([H])c(c2[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N([H])[H])N([H])c3c([H])c(c([H])c(c3[S]C([H])([H])C([H])([H])N([H])[H])N([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],"De novo design and in vivo activity of conformationally restrained antimicrobial arylamide foldamers, Choi S1, Isaacs A, Clements D, Liu D, Kim H, Scott RW, Winkler JD, DeGrado WF, Proc Natl Acad Sci USA. 2009 Apr 28;106(17):6968-73."
W0006,1.902,DMSO,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[H])=C(O[H])C([H])([H])[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],"Chemical Modulation of the Biological Activity of Reutericyclin: a Membrane-Active Antibiotic from Lactobacillus reuteri, Cherian PT, Wu X, Maddox MM, Singh AP, Lee RE, Hurdle JG Sci Rep. 2014 Apr 17;4:4721."
W0007,1.509,DMSO,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[H])=C(O[H])C([H])([H])C([H])([H])[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],"Chemical Modulation of the Biological Activity of Reutericyclin: a Membrane-Active Antibiotic from Lactobacillus reuteri, Cherian PT, Wu X, Maddox MM, Singh AP, Lee RE, Hurdle JG Sci Rep. 2014 Apr 17;4:4721."
W0008,1.724,DMSO,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[H])=C(O[H])c2c([H])c([H])c([H])c([H])c2[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],"Chemical Modulation of the Biological Activity of Reutericyclin: a Membrane-Active Antibiotic from Lactobacillus reuteri, Cherian PT, Wu X, Maddox MM, Singh AP, Lee RE, Hurdle JG Sci Rep. 2014 Apr 17;4:4721."
W0009,2.075,DMSO,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[H])=C(O[H])[C@@]2([H])C([H])([H])C([H])([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],"Chemical Modulation of the Biological Activity of Reutericyclin: a Membrane-Active Antibiotic from Lactobacillus reuteri, Cherian PT, Wu X, Maddox MM, Singh AP, Lee RE, Hurdle JG Sci Rep. 2014 Apr 17;4:4721."
W0010,1.769,DMSO,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[H])=C(O[H])c2c([H])c([H])c(OC([H])([H])OC([H])([H])C([H])([H])OC([H])([H])[H])c([H])c2[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],"Chemical Modulation of the Biological Activity of Reutericyclin: a Membrane-Active Antibiotic from Lactobacillus reuteri, Cherian PT, Wu X, Maddox MM, Singh AP, Lee RE, Hurdle JG Sci Rep. 2014 Apr 17;4:4721."
W0011,1.959,DMSO,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[H])=C(O[H])c2c([H])c([H])c(O[H])c([H])c2[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],"Chemical Modulation of the Biological Activity of Reutericyclin: a Membrane-Active Antibiotic from Lactobacillus reuteri, Cherian PT, Wu X, Maddox MM, Singh AP, Lee RE, Hurdle JG Sci Rep. 2014 Apr 17;4:4721."
W0012,1.879,DMSO,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[H])=C(O[H])c2c([H])c([H])c([F])c([H])c2[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],"Chemical Modulation of the Biological Activity of Reutericyclin: a Membrane-Active Antibiotic from Lactobacillus reuteri, Cherian PT, Wu X, Maddox MM, Singh AP, Lee RE, Hurdle JG Sci Rep. 2014 Apr 17;4:4721."
