Index,SMILES,Valid,MW,Rings,Oxygen,Nitrogen,Hydroxyl,Chiral,Glycosidic,Steroid_Skeleton,O/C_Ratio,Score,Classification,Description,Reasons,Error
0,O=C(c1c([H])c(c([H])c([H])c1[H])C(=O)N([H])c2c([S]...,True,608.9,3.0,2.0,6.0,0.0,0.0,0.0,No,0.062,-5.0,NOT_SAPONIN,Definitely not a saponin,Medium MW: 608.9 > 600 (+20); Few rings: 3 (only +5); Contains nitrogen: 6 atoms (-30),
1,O=C(c1c([H])c(c(OC([H])([H])[H])c([H])c1OC([H])([H...,True,668.9,3.0,4.0,6.0,0.0,0.0,0.0,No,0.118,-5.0,NOT_SAPONIN,Definitely not a saponin,Medium MW: 668.9 > 600 (+20); Few rings: 3 (only +5); Contains nitrogen: 6 atoms (-30),
2,O=C(c1c([H])c(c([H])c(OC([H])([H])C([H])([H])N([H]...,True,667.9,3.0,3.0,7.0,0.0,0.0,0.0,No,0.088,-5.0,NOT_SAPONIN,Definitely not a saponin,Medium MW: 667.9 > 600 (+20); Few rings: 3 (only +5); Contains nitrogen: 7 atoms (-30),
3,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,True,349.5,1.0,4.0,1.0,1.0,2.0,0.0,No,0.200,0.0,NOT_SAPONIN,Definitely not a saponin,Very low MW: 349.5 < 400 (no points); High O/C ratio: 0.200 (+10); Contains nitrogen: 1 atoms (-10),
4,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,True,363.5,1.0,4.0,1.0,1.0,2.0,0.0,No,0.190,0.0,NOT_SAPONIN,Definitely not a saponin,Very low MW: 363.5 < 400 (no points); High O/C ratio: 0.190 (+10); Contains nitrogen: 1 atoms (-10),
5,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,True,411.5,2.0,4.0,1.0,1.0,2.0,0.0,No,0.160,10.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 411.5 > 400 (+10); High O/C ratio: 0.160 (+10); Contains nitrogen: 1 atoms (-10),
6,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,True,518.7,2.0,6.0,2.0,1.0,2.0,0.0,No,0.207,10.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 518.7 > 400 (+10); Moderate oxygen: 6 ≥ 5 (+10); High O/C ratio: 0.207 (+10),
7,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,True,515.6,2.0,7.0,1.0,1.0,2.0,1.0,No,0.241,30.0,UNLIKELY_SAPONIN,Probably not a saponin,Low MW: 515.6 > 400 (+10); Moderate oxygen: 7 ≥ 5 (+10); Has glycosidic bonds: 1 (+10),
8,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,True,427.5,2.0,5.0,1.0,2.0,2.0,0.0,No,0.200,20.0,UNLIKELY_SAPONIN,Probably not a saponin,Low MW: 427.5 > 400 (+10); Moderate oxygen: 5 ≥ 5 (+10); High O/C ratio: 0.200 (+10),
9,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,True,429.5,2.0,4.0,1.0,1.0,2.0,0.0,No,0.160,10.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 429.5 > 400 (+10); High O/C ratio: 0.160 (+10); Contains nitrogen: 1 atoms (-10),
10,O=C(N1C(=O)C(C(=O)[C@]1([H])C([H])([H])C([H])([H])...,True,464.6,1.0,6.0,2.0,1.0,1.0,0.0,No,0.240,10.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 464.6 > 400 (+10); Moderate oxygen: 6 ≥ 5 (+10); High O/C ratio: 0.240 (+10),
11,O=C(N1C(=O)C(C(=O)[C@]1([H])c2c([H])c([H])c(OC(C([...,True,441.6,2.0,5.0,1.0,1.0,1.0,0.0,No,0.192,20.0,UNLIKELY_SAPONIN,Probably not a saponin,Low MW: 441.6 > 400 (+10); Moderate oxygen: 5 ≥ 5 (+10); High O/C ratio: 0.192 (+10),
12,[H][C@@]1(O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(N(...,True,696.0,3.0,9.0,5.0,5.0,15.0,4.0,No,0.281,65.0,LIKELY_SAPONIN,Probably a saponin,Medium MW: 696.0 > 600 (+20); Few rings: 3 (only +5); High oxygen: 9 ≥ 8 (+15),
13,[H][C@@]1(O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(N(...,True,724.0,3.0,9.0,5.0,5.0,15.0,4.0,No,0.265,65.0,LIKELY_SAPONIN,Probably a saponin,Medium MW: 724.0 > 600 (+20); Few rings: 3 (only +5); High oxygen: 9 ≥ 8 (+15),
14,O=C(N([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])...,True,1165.7,3.0,7.0,10.0,0.0,3.0,0.0,No,0.104,15.0,NOT_SAPONIN,Definitely not a saponin,High MW: 1165.7 > 800 (+30); Few rings: 3 (only +5); Moderate oxygen: 7 ≥ 5 (+10),
15,O=C2N([H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])...,True,1314.6,7.0,12.0,13.0,1.0,10.0,0.0,No,0.174,75.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1314.6 > 800 (+30); Many rings: 7 ≥ 5 (+20); Very high oxygen: 12 ≥ 12 (+20),
16,O=C2N([H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])...,True,1270.5,6.0,13.0,13.0,1.0,10.0,0.0,No,0.197,75.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1270.5 > 800 (+30); Many rings: 6 ≥ 5 (+20); Very high oxygen: 13 ≥ 12 (+20),
17,O=C2N([H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])...,True,1343.6,6.0,13.0,14.0,2.0,10.0,0.0,No,0.186,75.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1343.6 > 800 (+30); Many rings: 6 ≥ 5 (+20); Very high oxygen: 13 ≥ 12 (+20),
