Index,SMILES,MW,Rings,Oxygen,Nitrogen,Hydroxyl,Chiral,Glycosidic,O/C_Ratio,Score,Classification,Description
0,O=C(c1c([H])c(c([H])c([H])c1[H])C(=O)N([H])c2c([S]C([H])([H]...,608.9,3,2,6,0,0,0,0.062,5,NOT_SAPONIN,Not a saponin
1,O=C(c1c([H])c(c(OC([H])([H])[H])c([H])c1OC([H])([H])[H])C(=O...,668.9,3,4,6,0,0,0,0.118,5,NOT_SAPONIN,Not a saponin
2,O=C(c1c([H])c(c([H])c(OC([H])([H])C([H])([H])N([H])[H])c1[H]...,667.9,3,3,7,0,0,0,0.088,5,NOT_SAPONIN,Not a saponin
3,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H]...,349.5,1,4,1,1,2,0,0.200,0,NOT_SAPONIN,Not a saponin
4,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H]...,363.5,1,4,1,1,2,0,0.190,0,NOT_SAPONIN,Not a saponin
5,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H]...,411.5,2,4,1,1,2,0,0.160,10,NOT_SAPONIN,Not a saponin
6,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H]...,518.7,2,6,2,1,2,0,0.207,25,UNLIKELY_SAPONIN,Probably not a saponin
7,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H]...,515.6,2,7,1,1,2,1,0.241,45,POSSIBLE_SAPONIN,Could be a saponin
8,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H]...,427.5,2,5,1,2,2,0,0.200,30,UNLIKELY_SAPONIN,Probably not a saponin
9,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H]...,429.5,2,4,1,1,2,0,0.160,10,NOT_SAPONIN,Not a saponin
10,O=C(N1C(=O)C(C(=O)[C@]1([H])C([H])([H])C([H])([H])C([H])([H]...,464.6,1,6,2,1,1,0,0.240,25,UNLIKELY_SAPONIN,Probably not a saponin
