Index,SMILES,MW,Rings,Oxygen,Nitrogen,Score,Classification
0,O=C(c1c([H])c(c([H])c([H])c1[H])C(=O)N([H])c2c([S]...,608.9,3.0,2.0,6.0,-5.0,NOT_SAPONIN
1,O=C(c1c([H])c(c(OC([H])([H])[H])c([H])c1OC([H])([H...,668.9,3.0,4.0,6.0,-5.0,NOT_SAPONIN
2,O=C(c1c([H])c(c([H])c(OC([H])([H])C([H])([H])N([H]...,667.9,3.0,3.0,7.0,-5.0,NOT_SAPONIN
3,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,349.5,1.0,4.0,1.0,0.0,NOT_SAPONIN
4,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,363.5,1.0,4.0,1.0,0.0,NOT_SAPONIN
5,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,411.5,2.0,4.0,1.0,10.0,NOT_SAPONIN
6,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,518.7,2.0,6.0,2.0,10.0,NOT_SAPONIN
7,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,515.6,2.0,7.0,1.0,30.0,UNLIKELY_SAPONIN
8,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,427.5,2.0,5.0,1.0,20.0,UNLIKELY_SAPONIN
9,O=C(N1C(=O)C(C(=O)[C@]1([H])[C@@]([H])(C([H])([H])...,429.5,2.0,4.0,1.0,10.0,NOT_SAPONIN
10,O=C(N1C(=O)C(C(=O)[C@]1([H])C([H])([H])C([H])([H])...,464.6,1.0,6.0,2.0,10.0,NOT_SAPONIN
11,O=C(N1C(=O)C(C(=O)[C@]1([H])c2c([H])c([H])c(OC(C([...,441.6,2.0,5.0,1.0,20.0,UNLIKELY_SAPONIN
12,[H][C@@]1(O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(N(...,696.0,3.0,9.0,5.0,65.0,LIKELY_SAPONIN
13,[H][C@@]1(O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(N(...,724.0,3.0,9.0,5.0,65.0,LIKELY_SAPONIN
14,O=C(N([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])...,1165.7,3.0,7.0,10.0,15.0,NOT_SAPONIN
15,O=C2N([H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])...,1314.6,7.0,12.0,13.0,75.0,LIKELY_SAPONIN
16,O=C2N([H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])...,1270.5,6.0,13.0,13.0,75.0,LIKELY_SAPONIN
17,O=C2N([H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])...,1343.6,6.0,13.0,14.0,75.0,LIKELY_SAPONIN
18,O=C2N([H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])...,1256.5,6.0,12.0,13.0,75.0,LIKELY_SAPONIN
19,O=C1/C(=C(/O[H])C(=O)C([H])=C1OC([H])([H])[H])C([H...,358.5,3.0,4.0,0.0,15.0,NOT_SAPONIN
20,O=C1/C(=C(/O[H])C(=O)C([H])=C1O[H])C([H])([H])[C@]...,344.5,3.0,4.0,0.0,15.0,NOT_SAPONIN
21,O=C1/C(=C(/O[H])C(=O)C([H])=C1OC([H])([H])[H])C([H...,358.5,3.0,4.0,0.0,15.0,NOT_SAPONIN
22,O=C1/C(=C(/O[H])C(=O)C([H])=C1N([H])[H])C([H])([H]...,343.5,3.0,3.0,1.0,-5.0,NOT_SAPONIN
23,O=C1/C(=C(/O[H])C(=O)C([H])=C1N([H])C([H])([H])C([...,413.6,3.0,3.0,1.0,5.0,NOT_SAPONIN
24,O=C1C(=C(C(=O)C([H])=C1N([H])[H])N([H])[H])C([H])(...,342.5,3.0,2.0,2.0,-15.0,NOT_SAPONIN
25,O=C1/C(=C(/O[H])C(=O)C([H])=C1O[H])C([H])([H])[C@]...,344.5,3.0,4.0,0.0,15.0,NOT_SAPONIN
26,O=C1/C(=C(/O[H])C(=O)C([H])=C1OC([H])([H])[H])C([H...,358.5,3.0,4.0,0.0,15.0,NOT_SAPONIN
27,O=C1/C(=C(/OC([H])([H])[H])C(=O)C([H])=C1OC([H])([...,372.5,3.0,4.0,0.0,15.0,NOT_SAPONIN
28,O=C4C2=C(O[C@@]13[C@]([H])(C([H])([H])C([H])([H])[...,344.5,4.0,4.0,0.0,35.0,UNLIKELY_SAPONIN
29,O=C4C2=C(O[C@@]13[C@]([H])(C([H])([H])C([H])([H])[...,358.5,4.0,4.0,0.0,35.0,UNLIKELY_SAPONIN
30,O=C4C2=C(O[C@@]13[C@]([H])(C([H])([H])C([H])([H])[...,343.5,4.0,3.0,1.0,15.0,NOT_SAPONIN
31,O=C(c1c([H])c(c([H])c(c1[H])C(C([H])([H])[H])(C([H...,395.5,2.0,2.0,3.0,-30.0,NOT_SAPONIN
32,O=C(c1c([H])c(c([H])c(c1[H])C(C([H])([H])[H])(C([H...,409.6,2.0,2.0,3.0,-20.0,NOT_SAPONIN
33,O=C(c1c([H])c(c([H])c(c1[H])C(C([H])([H])[H])(C([H...,409.6,2.0,2.0,3.0,-20.0,NOT_SAPONIN
34,O=C(c2c([H])c([H])c(C(=O)N([H])c1c([H])c(c([H])c(c...,395.5,2.0,2.0,3.0,-30.0,NOT_SAPONIN
35,O=C(c2c([H])c([H])c(C(=O)N([H])c1c([H])c(c([H])c(c...,409.6,2.0,2.0,3.0,-20.0,NOT_SAPONIN
36,O=C(c2c([H])c(N([H])C(=O)c1c([H])c(c([H])c(c1[H])C...,395.5,2.0,2.0,3.0,-30.0,NOT_SAPONIN
37,O=C(c2c([H])c(N([H])C(=O)c1c([H])c(c([H])c(c1[H])C...,409.6,2.0,2.0,3.0,-20.0,NOT_SAPONIN
38,O=C(c2c(N([H])C(=O)c1c([H])c(c([H])c(c1[H])C(C([H]...,395.5,2.0,2.0,3.0,-30.0,NOT_SAPONIN
39,O=C(c2c(N([H])C(=O)c1c([H])c(c([H])c(c1[H])C(C([H]...,409.6,2.0,2.0,3.0,-20.0,NOT_SAPONIN
40,O=C(c2c(N([H])C(=O)c1c([H])c(c([H])c(c1[H])C(C([H]...,445.6,3.0,2.0,3.0,-15.0,NOT_SAPONIN
47,O=C(N([H])C([H])([H])C([H])([H])c1c([H])c([H])c(O[...,335.5,1.0,3.0,1.0,-10.0,NOT_SAPONIN
48,O=C(N([H])C([H])([H])C([H])([H])c1c([H])c([H])c(O[...,417.6,1.0,3.0,1.0,0.0,NOT_SAPONIN
64,O=C1N5[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,1156.5,5.0,10.0,13.0,70.0,LIKELY_SAPONIN
65,O=C1N6[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,1274.6,6.0,11.0,13.0,70.0,LIKELY_SAPONIN
66,O=C1N7[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,1350.7,7.0,11.0,13.0,60.0,LIKELY_SAPONIN
67,O=C1N8[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,1426.8,8.0,11.0,13.0,60.0,LIKELY_SAPONIN
68,O=C1N5[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,1198.5,5.0,11.0,13.0,70.0,LIKELY_SAPONIN
69,O=C1N5[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,1212.5,5.0,11.0,13.0,70.0,LIKELY_SAPONIN
70,O=C1N5[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,1226.6,5.0,11.0,13.0,70.0,LIKELY_SAPONIN
71,O=C1N5[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,1240.6,5.0,11.0,13.0,70.0,LIKELY_SAPONIN
72,O=C1N8[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,1318.7,9.0,11.0,13.0,70.0,LIKELY_SAPONIN
73,O=C1N6[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,1246.6,6.0,10.0,13.0,60.0,LIKELY_SAPONIN
74,O=C1N7[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,1336.7,7.0,10.0,13.0,60.0,LIKELY_SAPONIN
75,[H][C@@]12C([H])([H])[C@]([H])(O[H])C([H])([H])C([...,376.6,4.0,3.0,0.0,55.0,POSSIBLE_SAPONIN
76,O=C(N([H])C([H])([H])C([H])([H])N([H])[H])[C@]([H]...,458.7,0.0,4.0,4.0,-10.0,NOT_SAPONIN
77,O=C(N([H])C([H])([H])C([H])([H])N([H])[H])[C@]([H]...,514.8,0.0,4.0,4.0,-20.0,NOT_SAPONIN
78,O=C(N([H])C([H])([H])C([H])([H])N([H])[H])[C@]([H]...,542.8,0.0,6.0,4.0,0.0,NOT_SAPONIN
79,O[S](=O)(=O)OC([H])([H])C([H])([H])C([H])([H])C([H...,266.4,0.0,4.0,0.0,10.0,NOT_SAPONIN
80,O=C(N([H])[C@]([H])(C(O)O)C([H])([H])C([H])([H])C(...,512.8,0.0,4.0,2.0,-10.0,NOT_SAPONIN
81,O=C(OC([H])([H])[C@]([H])(O[H])C([H])([H])OC(=O)[C...,444.6,0.0,7.0,2.0,10.0,NOT_SAPONIN
82,O=C(OC([H])([H])[C@@]1([H])O[C@]([H])([C@]([H])(OC...,676.8,2.0,13.0,0.0,90.0,HIGH_CONFIDENCE_SAPONIN
83,O=C(O[C@](C([H])([H])C(=O)O[H])(C([H])([H])[H])C([...,678.9,2.0,13.0,0.0,95.0,HIGH_CONFIDENCE_SAPONIN
84,O=C(N([H])[C@@]([H])(C(=O)O[H])C([H])([H])[H])C([H...,299.5,0.0,3.0,1.0,0.0,NOT_SAPONIN
85,O=C(N([H])[C@@]([H])(C(=O)O[H])C([H])([H])O[H])C([...,315.5,0.0,4.0,1.0,0.0,NOT_SAPONIN
86,O=C1N([H])C([H])([H])C([H])([H])C([H])([H])N(C(=O)...,590.9,1.0,3.0,4.0,-20.0,NOT_SAPONIN
87,O=c1c3c(oc2c1c(O[H])c(c(OC([H])([H])C([H])([H])C([...,636.9,3.0,6.0,2.0,25.0,UNLIKELY_SAPONIN
88,O=c1c3c(oc2c1c(O[H])c(c(OC([H])([H])C([H])([H])C([...,664.9,3.0,6.0,2.0,15.0,NOT_SAPONIN
