#Name,LogHD50,Co-solvent,SMILES,Reference
W0015,1.699,DMSO,[H][C@@]1(O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(N([H])[H])[C@@]1([H])O[H])C([H])([H])[S]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])O[C@]3([H])[C@@]([H])(O[H])[C@]([H])(O[C@@]2([H])O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])N([H])[H])C([H])([H])N([H])[H])[C@@]([H])(N([H])[H])C([H])([H])[C@@]3([H])N([H])[H],"Synthesis and Bioactivities of Kanamycin B?\Derived Cationic Amphiphiles Fosso MY, Shrestha SK, Green KD, Garneau-Tsodikova S, J Med Chem. 2015 Dec 10;58(23):9124-9132."
W0016,1.602,DMSO,[H][C@@]1(O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(N([H])[H])[C@@]1([H])O[H])C([H])([H])[S]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])O[C@]3([H])[C@@]([H])(O[H])[C@]([H])(O[C@@]2([H])O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])N([H])[H])C([H])([H])N([H])[H])[C@@]([H])(N([H])[H])C([H])([H])[C@@]3([H])N([H])[H],"Synthesis and Bioactivities of Kanamycin B?\Derived Cationic Amphiphiles Fosso MY, Shrestha SK, Green KD, Garneau-Tsodikova S, J Med Chem. 2015 Dec 10;58(23):9124-9132."
W0027,1.679,,O=C2N([H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)N([H])[C@]([H])(C(=O)N([H])[C@@]([H])(C(=O)N([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@@]2([H])C([H])([H])c3c([H])c([H])c(O[H])c([H])c3[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])c4c([H])c([H])c(O[H])c([H])c4[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])c5c([H])c([H])c([H])c([H])c5[H])C([H])([H])c6c([H])c([H])c([H])c([H])c6[H],"High-Throughput Synthesis and Screening of Cyclic Peptide Antibiotics, Xiao Q, Pei D. J Med Chem 2007, 50, 3132-3137."
W0141,1.477,,O=C(OC([H])([H])[C@@]1([H])O[C@]([H])([C@]([H])(OC(=O)C([H])([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])[C@]1([H])O[C@@]2([H])O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])C([H])([H])O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],"Hydrophobic tail length, degree of fluorination and headgroup stereochemistry are determinants of the biocompatibility of (fluorinated) carbohydrate surfactants, Li X, Tur??nek J, Kn?tigov?? P, Kudl??ckov?? H, Masek J, Parkin S, Rankin SE, Knutson BL, Lehmler HJ., Colloids Surf B Biointerfaces. 2009 Oct 1;73(1):65-74."
W0142,1.778,,O=C(O[C@](C([H])([H])C(=O)O[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[C@@](O[C@]1([H])O[C@]([H])([C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[C@]2([H])O[C@]([H])([C@]([H])(O[H])[C@@]([H])(O[H])[C@@]2([H])O[H])C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],"Permeabilization of biological and artificial membranes by a bacterial dirhamnolipid produced by Pseudomonas aeruginosa, S??nchez M, Aranda FJ, Teruel JA, Espuny MJ, Marqu??s A, Manresa A, Ortiz A., J Colloid Interface Sci. 2010 Jan 15;341(2):240-247."
W0177,0.23,Methanol,[H]C([H])(O[H])[C@]([H])(O[H])C([H])([H])[C@]([H])(O[H])C([H])([H])[C@@]1([H])O[C@]([H])(C([H])([H])[C@@]([H])(O[H])[C@]1([H])O[H])[C@]([H])(O[H])C([H])([H])[C@@]([H])(C([H])([H])[C@]([H])(O[H])C([H])([H])C(=C([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])[C@]([H])([C@@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])C(=C([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]3([H])O[C@]([H])([C@]([H])(O[H])C([H])([H])C([H])([H])C(=C([H])[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@]2([H])O[C@]([H])([C@]([H])(O[H])[C@]([H])(O[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])=C([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])[H])[C@@]([H])(O[H])[C@]([H])(O[H])C2([H])[H])C([H])([H])[C@]([H])(O[H])[C@@]3([H])O[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],"Roles of integral protein in membrane permeabilization by amphidinols, Morsy N, Konoki K, Houdai T, Matsumori N, Oishi T, Murata M, Aimoto S., Biochim Biophys Acta. 2008 Jun;1778(6):1453-1459."
W0178,-0.398,Methanol,[H][C@]1(O[C@]([H])([C@]([H])(O[H])[C@]([H])(O[H])C1([H])[H])[C@@]([H])(O[H])[C@]([H])(O[H])C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(O[H])C([H])=C([H])C([H])([H])[C@@]([H])(O[H])C([H])=C([H])C([H])([H])[C@@]([H])(O[H])C([H])([H])O[H])[C@]([H])(O[H])C([H])([H])C([H])([H])C(=C([H])[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]2([H])O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(O[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])=C([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])=C([H])[H])[C@]([H])(O[H])[C@]([H])(O[H])C2([H])[H].[H]C([H])([H])C([H])([H])[H],"Roles of integral protein in membrane permeabilization by amphidinols, Morsy N, Konoki K, Houdai T, Matsumori N, Oishi T, Murata M, Aimoto S., Biochim Biophys Acta. 2008 Jun;1778(6):1453-1459."
W0179,0.462,Methanol,[H]C([H])(O[H])[C@]([H])(O[H])C([H])([H])C([H])=C([H])[C@@]([H])(O[H])C([H])([H])C([H])=C([H])[C@]([H])(O[H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])C(=C([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]2([H])O[C@]([H])([C@]([H])(O[H])C([H])([H])C([H])([H])C(=C([H])[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[C@]([H])([C@]([H])(O[H])[C@]([H])(O[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])=C([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])[H])[C@@]([H])(O[H])[C@]([H])(O[H])C1([H])[H])C([H])([H])[C@]([H])(O[H])[C@@]2([H])O[H])C([H])([H])[H],"Roles of integral protein in membrane permeabilization by amphidinols, Morsy N, Konoki K, Houdai T, Matsumori N, Oishi T, Murata M, Aimoto S., Biochim Biophys Acta. 2008 Jun;1778(6):1453-1459."
W0180,0.477,Methanol,[H][C@]1(O[C@]([H])([C@]([H])(O[H])[C@]([H])(O[H])C1([H])[H])[C@@]([H])(O[H])[C@]([H])(O[H])C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])[C@]([H])(C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])[C@@]([H])(O[S](=O)(=O)O)C([H])([H])O[H])C([H])([H])[H])[C@]([H])(O[H])C([H])([H])C([H])([H])C(=C([H])[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]2([H])O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(O[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])=C([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])[H])[C@]([H])(O[H])[C@]([H])(O[H])C2([H])[H],"Roles of integral protein in membrane permeabilization by amphidinols, Morsy N, Konoki K, Houdai T, Matsumori N, Oishi T, Murata M, Aimoto S., Biochim Biophys Acta. 2008 Jun;1778(6):1453-1459."
W0181,0.079,Methanol,[H][C@]1(O[C@]([H])([C@]([H])(O[H])[C@]([H])(O[H])C1([H])[H])[C@@]([H])(O[H])[C@]([H])(O[H])C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])[C@]([H])(C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])[C@@]([H])(O[H])C([H])([H])O[H])C([H])([H])[H])[C@]([H])(O[H])C([H])([H])C([H])([H])C(=C([H])[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]2([H])O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(O[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])=C([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])[H])[C@]([H])(O[H])[C@]([H])(O[H])C2([H])[H],"Roles of integral protein in membrane permeabilization by amphidinols, Morsy N, Konoki K, Houdai T, Matsumori N, Oishi T, Murata M, Aimoto S., Biochim Biophys Acta. 2008 Jun;1778(6):1453-1459."
