iter	RMSE
0	0.8422588168
1	0.8371271492
2	0.8298660222
3	0.8226343065
4	0.8199077229
5	0.8134895294
6	0.807061471
7	0.8050559506
8	0.7986081171
9	0.796588593
10	0.7926400304
11	0.7865167043
12	0.77846594
13	0.7717316093
14	0.7687332857
15	0.7657361187
16	0.7614679484
17	0.7596497316
18	0.7581952242
19	0.7534169837
20	0.7490317663
21	0.7435980042
22	0.7398683025
23	0.7379821482
24	0.7333153853
25	0.7289311553
26	0.7272000135
27	0.7236810507
28	0.7187816774
29	0.7153367809
30	0.7143280023
31	0.7114631305
32	0.7076514004
33	0.7037059452
34	0.6999994369
35	0.6975653335
36	0.696487684
37	0.6944908115
38	0.6923403138
39	0.6892592144
40	0.6870649956
41	0.6841652663
42	0.6814577303
43	0.6779770998
44	0.6762048559
45	0.6754214973
46	0.6748084046
47	0.6731378864
48	0.671173073
49	0.6680122171
50	0.6652566681
51	0.6618026212
52	0.6600577914
53	0.6590749671
54	0.6577192564
55	0.6562889864
56	0.6553300767
57	0.6538031392
58	0.65283566
59	0.6519000237
60	0.6488327143
61	0.6469976095
62	0.6459305006
63	0.6438554471
64	0.6425262063
65	0.6417208596
66	0.6408580192
67	0.6394058731
68	0.6382130573
69	0.6372178805
70	0.6367444247
71	0.6314143109
72	0.6302858089
73	0.629277796
74	0.6283472183
75	0.6274858367
76	0.6261228077
77	0.6248578294
78	0.6238234765
79	0.6229190709
80	0.6219064686
81	0.6209384078
82	0.6183099529
83	0.6177728302
84	0.6171961143
85	0.6164176814
86	0.6138482507
87	0.6132041783
88	0.6127877615
89	0.6120903146
90	0.6113490299
91	0.6103587169
92	0.6095946801
93	0.6086647969
94	0.6080104704
95	0.6074105426
96	0.6064459824
97	0.605634978
98	0.6034507928
99	0.6031638484
100	0.6025491263
101	0.6021758068
102	0.6010019873
103	0.6003612408
104	0.5999150064
105	0.5995002116
106	0.5985713025
107	0.5977093637
108	0.5966364346
109	0.5956400455
110	0.5951552751
111	0.592469285
112	0.5910933219
113	0.5899649187
114	0.5883850612
115	0.5871322381
116	0.584238124
117	0.5839202864
118	0.5827230663
119	0.5819708682
120	0.5816310104
121	0.5805075324
122	0.579577903
123	0.5792143479
124	0.5785382641
125	0.5771974706
126	0.576683129
127	0.5755781067
128	0.574984976
129	0.5741620181
130	0.5725942237
131	0.5720687778
132	0.5713200972
133	0.5706139059
134	0.5697544842
135	0.5687727281
136	0.5654970413
137	0.5649204519
138	0.5640735226
139	0.5634240236
140	0.5629697182
141	0.5627665526
142	0.5620616327
143	0.561456257
144	0.560440032
145	0.5600346533
146	0.5593469093
147	0.5587636202
148	0.5574719227
149	0.557115205
150	0.5560590007
151	0.5543900476
152	0.5537413634
153	0.5533992482
154	0.5504146294
155	0.549017364
156	0.5480092483
157	0.5473628481
158	0.5458888094
159	0.5451483401
160	0.5434515732
161	0.540326814
162	0.5392357195
163	0.5387809247
164	0.5381555654
165	0.5375759664
166	0.5366659739
167	0.5344731868
168	0.5335522656
169	0.5317456728
170	0.5308974094
171	0.5302695368
172	0.5283848581
173	0.5257346376
174	0.5233541835
175	0.520835405
176	0.5189463598
177	0.5177895179
178	0.5168747221
179	0.5139493187
180	0.5114617614
181	0.5094558068
182	0.508087636
183	0.5071036488
184	0.5047611021
185	0.5027096977
186	0.5014682011
187	0.5001397843
188	0.4986607649
189	0.4973674649
190	0.4937005739
191	0.4905249894
192	0.4877935741
193	0.4861909692
194	0.4821179379
195	0.4807822406
196	0.479890887
197	0.4780295836
198	0.4771509476
199	0.475564097
200	0.4746679519
201	0.47301248
202	0.4696782312
203	0.4684244622
204	0.4671329965
205	0.4653849368
206	0.4640030376
207	0.4623496257
208	0.4612382669
209	0.4597222691
210	0.4582858826
211	0.4559619856
212	0.4548188925
213	0.451958789
214	0.449244299
215	0.4477062661
216	0.446328457
217	0.4453341346
218	0.4438373242
219	0.4427603755
220	0.4417435305
221	0.438596378
222	0.4362306665
223	0.435046317
224	0.4337485141
225	0.4302506559
226	0.4276920005
227	0.4263730824
228	0.4248913367
229	0.4241092404
230	0.4218482935
231	0.4204801341
232	0.4189640049
233	0.4173891722
234	0.4162758113
235	0.4139379336
