iter	Passed	Remaining
0	19	56974
1	46	69263
2	91	89773
3	134	99290
4	177	104555
5	217	106828
6	259	109081
7	302	111419
8	343	112327
9	385	113316
10	425	113807
11	469	114905
12	510	115405
13	550	115481
14	591	115768
15	631	115764
16	671	115833
17	711	115820
18	751	115895
19	791	116002
20	832	116127
21	874	116386
22	916	116695
23	958	116827
24	998	116815
25	1039	116867
26	1080	116950
27	1122	117155
28	1164	117292
29	1205	117379
30	1247	117443
31	1289	117559
32	1330	117643
33	1373	117776
34	1421	118355
35	1461	118275
36	1504	118411
37	1546	118498
38	1587	118519
39	1629	118527
40	1670	118493
41	1711	118476
42	1751	118411
43	1791	118336
44	1833	118346
45	1873	118283
46	1914	118226
47	1955	118221
48	1995	118158
49	2041	118434
50	2081	118322
51	2121	118233
52	2162	118214
53	2203	118163
54	2244	118116
55	2283	118019
56	2325	118046
57	2366	117998
58	2409	118052
59	2449	117968
60	2487	117808
61	2528	117801
62	2569	117761
63	2611	117778
64	2652	117728
65	2695	117780
66	2736	117732
67	2776	117695
68	2817	117652
69	2858	117615
70	2902	117680
71	2945	117734
72	2989	117831
73	3043	118273
74	3084	118228
75	3124	118146
76	3167	118189
77	3208	118123
78	3248	118057
79	3290	118031
80	3331	118010
81	3372	117938
82	3411	117846
83	3453	117823
84	3494	117772
85	3535	117728
86	3577	117736
87	3620	117732
88	3660	117674
89	3702	117645
90	3742	117591
91	3784	117558
92	3823	117460
93	3863	117389
94	3904	117335
95	3948	117377
96	3988	117317
97	4028	117235
98	4070	117226
99	4113	117238
100	4154	117182
101	4198	117231
102	4242	117268
103	4284	117234
104	4328	117294
105	4371	117298
106	4413	117254
107	4454	117207
108	4494	117153
109	4518	116671
110	4558	116600
111	4599	116536
112	4640	116501
113	4680	116444
114	4721	116385
115	4761	116329
116	4801	116271
117	4842	116215
118	4885	116214
119	4927	116212
120	4961	115994
121	4999	115893
122	5038	115811
123	5079	115759
124	5120	115717
125	5164	115751
126	5204	115689
127	5245	115655
128	5286	115607
129	5328	115598
130	5370	115562
131	5410	115497
132	5450	115440
133	5491	115408
134	5533	115387
135	5576	115376
136	5622	115435
137	5661	115368
138	5701	115291
139	5739	115208
140	5781	115169
141	5821	115127
142	5861	115062
143	5903	115030
144	5943	114977
145	5984	114943
146	6025	114896
147	6067	114871
148	6108	114840
149	6148	114779
150	6191	114774
151	6231	114716
152	6273	114689
153	6315	114661
154	6356	114621
155	6396	114569
156	6438	114534
157	6475	114429
158	6516	114385
159	6556	114334
160	6599	114326
161	6639	114267
162	6680	114232
163	6723	114216
164	6765	114197
165	6807	114166
166	6846	114095
167	6888	114067
168	6928	114018
169	6969	113977
170	7010	113925
171	7046	113815
172	7087	113766
173	7129	113750
174	7171	113722
175	7211	113670
176	7251	113614
177	7292	113561
178	7331	113493
179	7372	113454
180	7412	113404
181	7453	113363
182	7494	113324
183	7534	113263
184	7576	113231
185	7617	113194
186	7657	113140
187	7697	113093
188	7739	113062
189	7780	113017
190	7822	113001
191	7866	113000
192	7907	112959
193	7949	112932
194	7992	112917
195	8033	112877
196	8072	112813
197	8112	112759
198	8153	112717
199	8194	112673
200	8235	112628
201	8278	112617
202	8320	112587
203	8359	112525
204	8400	112490
205	8441	112439
206	8482	112401
207	8521	112332
208	8562	112293
209	8602	112246
210	8643	112198
211	8684	112163
212	8727	112142
213	8770	112131
214	8812	112099
215	8854	112070
216	8896	112051
217	8935	111984
218	8976	111941
219	9016	111890
220	9060	111886
221	9104	111873
222	9144	111824
223	9185	111785
224	9227	111760
225	9272	111766
226	9314	111727
227	9343	111542
228	9380	111457
229	9417	111367
230	9457	111323
231	9498	111278
232	9539	111242
233	9580	111194
234	9621	111158
235	9662	111113
236	9704	111093
237	9746	111060
238	9787	111019
239	9828	110983
240	9870	110947
241	9911	110914
242	9954	110895
243	9997	110869
244	10035	110800
